ID (DC:identifier)	ASSESSORATO DIPARTIMENTO/UFFICIO SPECIALE TITOLARE (DC:creator)	TEMA DATI.GOV.IT (DCAT:theme)	TEMA EUROVOC (DCAT:theme)	SOTTOTEMA EUROVOC (DCAT:theme)	NOME DEL/DEI DATASET (DC:title)	DESCRIZIONE (DC:description)	PAROLE CHIAVE (DCAT:keyword)	PAGINA WEB (DCAT:landingPage)	URL DI PUBBLICAZIONE (DCAT:downloadURL)	FORMATO (DC:format)	LICENZA X RIUTILIZZO (DC:license)	LOCALIZZAZIONE (0 - Nessuna 1 - CAP/Comune 2 - Indirizzo 3 - coordinate geospaziali-Latitudine/Long o poligoni.)	DATA ULTIMO AGGIORNAMENTO (DC:modified)	FREQUENZA DI AGGIORNAMENTO	OBBLIGO DI PUBBLICAZIONE	ALTRO
15	Presidenza della Regione Dipartimento della Programmazione	Progetti europei e di cooperazione	10 UNIONE EUROPEA	1021 FINANZE DELL'UNIONE EUROPEA	Elenco dei beneficiari dei progetti finanziati dal PO Italia-Malta 2007-2013	Elenco dei beneficiari dei progetti finanziati dal PO Italia-Malta 2007-2013 contenente: - nome del beneficiario -  asse; - denominazione dell'operazione;  - anno del finanziamento; - contributo comunitario stanziato; - totale importo effettivaemente erogato;  - importo effettivamente erogato - quota FESR.		http://www.italiamalta.eu/index.php?option=com_docman&task=cat_view&gid=81&Itemid=29		CSV	NO		Aprile 2015			File open data senza licenza esplicita
16	Presidenza della Regione Dipartimento della Programmazione	Progetti europei e di cooperazione	10 UNIONE EUROPEA	2426 INVESTIMENTI E FINANZIAMENTI	Elenco dei beneficiari dei progetti finanziati dal PO Italia-Tunisia 2007-2013	Elenco dei beneficiari dei progetti finanziati dal PO Italia-Tunisia 2007-2013 contenente: - CUP; - beneficiario; -  tipologia di spesa; - operazione/progetto; - denominazione dell'operazione/progetto;  - anno del finanziamento; - costo dell'operazione/progetto; - totale importo effettivaemente erogato;  - importo effettivamente erogato - quota comunitaria.		http://www.italietunisie.eu/index.php?option=com_content&view=category&layout=blog&id=43&Itemid=72&lang=it		XSL	NO		Dicembre 2014			File open data senza licenza esplicita
17	Presidenza della Regione Segreteria Generale	Government e settore pubblico	12 DIRITTO	1211 DIRITTO CIVILE	Registro delle persone giuridiche	Registro delle persone giuridiche della Regione Siciliana		http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_LaStrutturaRegionale/PIR_PresidenzadellaRegione/PIR_SegreteriaGenerale/PIR_Area1/PIR_PersoneGiuridiche/		PDF	NO		Luglio 2015			
18	Presidenza della Regione Segreteria Generale	Giustizia e sicurezza	12 DIRITTO	1221 GIUSTIZIA	Beni confiscati facenti parte del patrimonio indisponibile della Regione Siciliana			http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_LaStrutturaRegionale/PIR_PresidenzadellaRegione/PIR_SegreteriaGenerale/PIR_Servizio11/PIR_Elenco		Proprietario (html)	NO		22 OTTOBRE 2014			
19	Assessorato della Famiglia, delle Politiche Sociali e del Lavoro Dipartimento della Famiglia e delle Politiche Sociali	Giustizia e sicurezza	12 DIRITTO	1221 GIUSTIZIA	Elenco dei beni confiscati alla criminalità organizzata			http://lineediattivita.dipartimento-famiglia-sicilia.it/images/documenti/2012/bimm.pdf		pdf	NO		?			
20	Presidenza della Regione Segreteria Generale	Giustizia e sicurezza	16 VITA ECONOMICA	1631 ANALISI ECONOMICA	Monitoraggio dei beni confiscati nei comuni siciliani - anno 2014			http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_LaStrutturaRegionale/PIR_PresidenzadellaRegione/PIR_SegreteriaGenerale/PIR_Servizio11/PIR_Monitoraggiobeniconfiscati/Relazione.pdf		pdf	NO		30/06/2015			
21	Presidenza della Regione Segreteria Generale	Giustizia e sicurezza	12 DIRITTO	1221 GIUSTIZIA	Schede dettagliate dei beni assegnati ai comuni			http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_LaStrutturaRegionale/PIR_PresidenzadellaRegione/PIR_SegreteriaGenerale/PIR_Servizio11/PIR_Monitoraggiobeniconfiscati/Schede%20dettagliate%20dei%20beni%20assegnati%20ai%20comuni.pdf		Proprietario (pdf)	NO		30/06/2015			
22	Presidenza della Regione Dipartimento della Protezione Civile	Ambiente e meteo	52 AMBIENTE	5206 POLITICA DELL'AMBIENTE	Archivio Avvisi allerta incendi e Ondate di calore			http://www.regione.sicilia.it/presidenza/protezionecivile/pp/archivio_incendi.asp		pdf	NO		2015			
23	Presidenza della Regione Dipartimento della Protezione Civile	Ambiente e meteo	52 AMBIENTE	5206 POLITICA DELL'AMBIENTE	Archivio Avvisi allerta idrogeologica			http://www.regione.sicilia.it/presidenza/protezionecivile/pp/archivio_idro.asp		pdf	NO		2015			
24	Presidenza della Regione Dipartimento della Protezione Civile	Ambiente e meteo	52 AMBIENTE	5206 POLITICA DELL'AMBIENTE	Archivio Avvisi attività sismica			http://www.regione.sicilia.it/presidenza/protezionecivile/pp/archivio_sima_id=1.asp		Proprietario (pdf)	NO		SI			
