ID (DC:identifier)	ASSESSORATO DIPARTIMENTO/UFFICIO SPECIALE TITOLARE (DC:creator)	TEMA DATI.GOV.IT (DCAT:theme)	TEMA EUROVOC (DCAT:theme)	SOTTOTEMA EUROVOC (DCAT:theme)	NOME DEL/DEI DATASET (DC:title)	DESCRIZIONE (DC:description)	PAROLE CHIAVE (DCAT:keyword)	PAGINA WEB (DCAT:landingPage)	URL DI PUBBLICAZIONE (DCAT:downloadURL)	FORMATO (DC:format)	LICENZA X RIUTILIZZO (DC:license)	LOCALIZZAZIONE (0 - Nessuna 1 - CAP/Comune 2 - Indirizzo 3 - coordinate geospaziali-Latitudine/Long o poligoni.)	DATA ULTIMO AGGIORNAMENTO (DC:modified)	FREQUENZA DI AGGIORNAMENTO	OBBLIGO DI PUBBLICAZIONE	ALTRO
48	Assessorato dei Beni Culturali e dell'Identità Siciliana Dipartimento dei Beni culturali e dell'Identità siciliana	Cultura	28 QUESTIONI SOCIALI	2831 CULTURA E RELIGIONE	Servizio Biblioteche regionali - schede dati 2004	Una scheda per provincia		http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_LaStrutturaRegionale/PIR_AssBeniCulturali/PIR_BeniCulturaliAmbientali/PIR_BibliotecheeArchivi		pdf	NO		NO (2004)			
49	Assessorato dell'Economia Dipartimento del Bilancio e del Tesoro - Ragioneria Generale della Regione	Economia, finanze e tributi	24 FINANZE	2441 BILANCIO	Bilancio di previsione della Regione Siciliana	Bilancio di previsione della Regione Siciliana per l'anno finanziario 2013 e bilancio pluriennale per il triennio 2013 - 2015 contenente: - Legge di bilancio; - Quadro generale riassuntivo del bilancio di competenza; - Quadro delle previsioni di cassa; - Bilancio di previsione per U.P.B. per l'anno 2013; - Bilancio di previsione per U.P.B. per il triennio 2012 - 2014; - Riassunti entrata per il triennio 2013 - 2015; - Riassunti spesa per il triennio 2012- 2014; - Elenchi; - Bilancio per capitoli.		http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_LaStrutturaRegionale/PIR_AssessoratoEconomia/PIR_DipBilancioTesoro/PIR_BilanciodiPrevisione/PIR_Annofinanziario2013		pdf	NO		SI			sono vari documenti in pdf
50	Assessorato dell'Economia Dipartimento del Bilancio e del Tesoro - Ragioneria Generale della Regione	Economia, finanze e tributi	24 FINANZE	2441 BILANCIO	Rendiconto generale della Regione	Rendiconto generale della Regione (2012) suddiviso in due parti: - il conto consuntivo del bilancio o rendiconto finanziario, in cui sono riportati i risultati della  gestione finanziaria in relazione alla previsione di bilancio; - il conto generale del patrimonio o rendiconto patrimoniale, in cui sono riportate le variazioni avvenute nel patrimonio e la situazione patrimoniale finale.		http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_LaStrutturaRegionale/PIR_AssessoratoEconomia/PIR_DipBilancioTesoro/PIR_RendicontoGenerale/PIR_Annofinanziario2012		pdf	NO		SI			sono vari documenti in pdf
51	Assessorato dell'Economia Dipartimento del Bilancio e del Tesoro - Ragioneria Generale della Regione	Economia, finanze e tributi	24 FINANZE	2436 FINANZE PUBBLICHE E POLITICA DI BILANCIO	Elenco dei soggetti beneficiari di concessioni e attribuzioni di vantaggi economici	Elenco dei beneficiari di concessioni e attribuzioni di vantaggi economici contenente: - beneficiario; - dati fiscali; - importo; - norma o titolo base; - ufficio; - responsabile del procedimento; - modalità di individuazione dei beneficiari; - data del provvedimento; - numero del provvedimento.		http://www.regione.sicilia.it/amministrazioneaperta/		csv	NO		SI			file open data senza licenza esplicita
52	Assessorato dell'Economia Dipartimento del Bilancio e del Tesoro - Ragioneria Generale della Regione	Economia, finanze e tributi	24 FINANZE	2436 FINANZE PUBBLICHE E POLITICA DI BILANCIO	Bollettino sul fabbisogno Finanziario della Regione	Contiene le tabelle con i dati del Bollettino del fabbisogno finanziario della Regione Siciliana.		http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_LaStrutturaRegionale/PIR_AssessoratoEconomia/PIR_DipBilancioTesoro/PIR_NormeDocumenti/PIR_BollettinosulfabbisognoFinanziariodellaRegione		ods	SI (IODL 1.0)		SI			
53	Assessorato dell'Economia Dipartimento delle Finanze e Credito	Economia, finanze e tributi	24 FINANZE	2416 ISTITUTI FINANZIARI E DI CREDITO	Osservatorio Regionale sul Credito	Contiene le relazioni annuali dell'Osservatorio, che analizza l'articolazione territoriale delle banche presenti in Sicilia, la rete degli sportelli e le consistenze annuali dei depositi, dei prestiti e delle sofferenze, il rapporto trimestrale sulla rilevazione dei tassi d'interesse attivi applicati sui finanziamenti concessi dalle banche in Sicilia e la relazione semestrale sull'attività delle banche regionali		http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_LaStrutturaRegionale/PIR_AssessoratoEconomia/PIR_Osservatorio_regionale		xls	SI (IODL 1.0)		SI			
54	Assessorato dell'Economia Dipartimento delle Finanze e Credito	Economia, finanze e tributi	24 FINANZE	2416 ISTITUTI FINANZIARI E DI CREDITO	Credito d'imposta per gli investimenti	Contiene i dati riepilogativi delle istanze presentate dalle imprese per accedere al credito d'imposta di cui alla L.R. 17/11/2009 n.11 secondo la seguente articolazione: dati delle imprese con sede fuori Sicilia, dati statistici delle istanze accolte, distribuzione statistica delle istanze presentate, pianificazione per dimensionamento impresa, dati  riepilogativi delle istanze per codice ateco.		http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_LaStrutturaRegionale/PIR_AssessoratoEconomia/PIR_DipFinanzeCredito/PIR_CreditoImposta/PIR_eleborazioni		xls	SI (IODL 1.0)		SI			
55	Assessorato dell'Economia Dipartimento delle Finanze e Credito	Economia, finanze e tributi	24 FINANZE	2416 ISTITUTI FINANZIARI E DI CREDITO	Microcredito per le famiglie siciliane	Contiene gli elenchi degli organismi no-profit e delle banche/intermediari finanziari convenzionati nonché la modulistica per l'adesione all'iniziativa.		http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_LaStrutturaRegionale/PIR_AssessoratoEconomia/PIR_Microcreditoperlefamigliesiciliane		xls	SI (IODL 1.0)		SI			
56	Assessorato dell'Economia Dipartimento delle Finanze e Credito	Economia, finanze e tributi	24 FINANZE	2441 BILANCIO	Autonomia finanziaria siciliana e federalismo fiscale	Contiene i seguenti dati:  - i dati relativi alle entrate per tributi propri e compartecipazioni a tributi erariali delle Regioni autonome e delle Province autonome. Dati di competenza - anno 2010;  - i valori procapite delle principali entrate tributarie delle Regioni autonome e delle Province autonome - anno 2008;  - le spese effettive delle Regioni autonome e delle Province autonome secondo la classificazione funzionale - anno 2010;  - la spesa per la sanità delle Regioni autonome e delle Province autonome e l'ncidenza percentuale della stessa sulle entrate tributarie;  - la quota effettiva di IRPEF percepita delle Regioni autonome e delle Province autonome rispetto a quella statutariamente attribuita;  - la stima effetti finanziari per la Regione siciliana derivanti dal D.lgs 23/11 Federalismo Municipale;  - i trasferimenti di parte corrente a carico dello Stato e della Regione ai Comuni della Sicilia.		http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_LaStrutturaRegionale/PIR_AssessoratoEconomia/PIR_Federalismofiscale/PIR_FederalismoDatiapertiOpendata		xls	SI (IODL 1.0)					
57	Assessorato regionale dell'energia e dei servizi di pubblica utilità Dipartimento dell'Energia	Energia	66 ENERGIA	6606 POLITICA  ENERGETICA	Piano Energetico Ambientale della Regione Siciliana (PEARS)			http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_LaStrutturaRegionale/PIR_AssEnergia/PIR_DipEnergia/PIR_PianoEnergeticoAmbientaledellaRegioneSicilianaPEARS		pdf	NO		SI			
58	Assessorato regionale dell'energia e dei servizi di pubblica utilità Dipartimento dell'Energia Osservatorio Regionale dell'Energia	Energia	66 ENERGIA	6606 POLITICA ENERGETICA	Rapporto energia 2012			http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_LaStrutturaRegionale/PIR_AssEnergia/PIR_DipEnergia/PIR_7159054.857606406/PIR_Datiestrumentidianalisi/PIR_Rapporto_energia_sicilia		Proprietario (pdf)	NO		SI			Disponibili anche i rapporti degli anni precedenti
59	Assessorato regionale dell'energia e dei servizi di pubblica utilità Dipartimento dell'Energia	Energia	32 ISTRUZIONE E COMUNICAZIONE	3236 INFORMATICA E TRATTAMENTO DEI DATI	Elenco regionale dei soggetti abilitati alla certificazione energetica degli edifici			http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_LaStrutturaRegionale/PIR_AssEnergia/PIR_DipEnergia/PIR_2754499.1088975756/PIR_EfficienzaEnergeticanellEdilizia/PIR_EfficienzaEnergeticanellEdilizia/Elenco%20aggiornato%20al%2030.06.2013.pdf		Proprietario (pdf)	NO		SI			
60	Assessorato regionale dell'energia e dei servizi di pubblica utilità Dipartimento dell'Energia Osservatorio Regionale dell'Energia	Energia	66 ENERGIA	6626 ENERGIA DOLCE	Dati relativi a fonti rinnovabili in Sicilia	Dati sulle fonti rinnovabili 2012 Distribuzione degli impianti eolici .....		http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_LaStrutturaRegionale/PIR_AssEnergia/PIR_DipEnergia/PIR_7159054.857606406/PIR_Fontirinnovabilinellaregione		Pdf	NO		SI			
61	Assessorato regionale dell'energia e dei servizi di pubblica utilità Dipartimento dell'Energia Osservatorio Regionale dell'Energia	Energia	66 ENERGIA	6606 POLITICA ENERGETICA	Dati relativi a fonti non rinnovabili in Sicilia	Costo del greggio Produzione idrocarburi .....		http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_LaStrutturaRegionale/PIR_AssEnergia/PIR_DipEnergia/PIR_7159054.857606406/PIR_FontiNonRinnovabili		pdf	NO		SI			
62	Assessorato regionale dell'energia e dei servizi di pubblica utilità Dipartimento dell'Energia Osservatorio Regionale dell'Energia	Energia	66 ENERGIA	6621 INDUSTRIA NUCLEARE ED ELETTRICA	Carta della rete elettrica in Sicilia			http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_LaStrutturaRegionale/PIR_AssEnergia/PIR_DipEnergia/PIR_7159054.857606406/PIR_ReteElettrica/reteSicilia.gif		gif	NO		?			
63	Assessorato regionale dell'energia e dei servizi di pubblica utilità Dipartimento dell'Energia Osservatorio Regionale dell'Energia	Energia	66 ENERGIA	6606 POLITICA ENERGETICA	Rete dei metadonotti in Sicilia			http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_LaStrutturaRegionale/PIR_AssEnergia/PIR_DipEnergia/PIR_7159054.857606406/PIR_RetedelGas/Rete_metanodotti_leg.JPG		jpg	NO		?			
64	Assessorato regionale dell'energia e dei servizi di pubblica utilità Dipartimento dell'Energia	Energia	66 ENERGIA	6616 INDUSTRIA PETROLIFERA	ELENCO GENERALE DEI POZZI ESPLORATIVI PERFORATI O IN CORSO DI PERFORAZIONE IN SICILIA PER RICERCA E COLTIVAZIONE IDROCARBURI			http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_LaStrutturaRegionale/PIR_AssEnergia/PIR_DipEnergia/PIR_6483619.129778699/PIR_URIG/PIR_ELENCOPOZZI/ELENCO%20POZZI.PDF		pdf	NO		NO (2008)			
65	Assessorato della Famiglia, delle Politiche Sociali e del Lavoro Dipartimento del lavoro, dell'impiego, dell'orientamento, dei servizi e delle attività formative	Lavoro e politiche sociali	44 OCCUPAZIONE E LAVORO	4411 MERCATO DEL LAVORO	Offerte di lavoro			http://www.lavoro.regione.sicilia.it/B@checa/offerte/CercaOfferte.asp		DB	NO		SI			
66	Assessorato della Famiglia, delle Politiche Sociali e del Lavoro Dipartimento del lavoro, dell'impiego, dell'orientamento, dei servizi e delle attività formative	Lavoro e politiche sociali	28 QUESTIONI SOCIALI	2836 PROTEZIONE SOCIALE	Ammortizzatori sociali in deroga per il 2013			http://www.lavoro.regione.sicilia.it/B@checa/ammortizzatori_2013/CercaAmm.asp		DB	NO		SI			
67	Assessorato della Famiglia, delle Politiche Sociali e del Lavoro Dipartimento del lavoro, dell'impiego, dell'orientamento, dei servizi e delle attività formative	Lavoro e politiche sociali	44 OCCUPAZIONE E LAVORO	4411 MERCATO DEL LAVORO	Albo collaudatori cantieri scuola per disoccupati			http://www.regione.sicilia.it/lavoro/cantieri/index.htm		pdf	NO		SI			
68	Assessorato della Famiglia, delle Politiche Sociali e del Lavoro Dipartimento del lavoro, dell'impiego, dell'orientamento, dei servizi e delle attività formative	Lavoro e politiche sociali	44 OCCUPAZIONE E LAVORO	4411 MERCATO DEL LAVORO	Elenco uffici e centri per l'impiego			http://www.lavoro.regione.sicilia.it/B@checa/SediUffici/qsediele.asp		DB	NO	2	SI			Ogni sede è visualizzabile anche su google maps
69	Assessorato della Famiglia, delle Politiche Sociali e del Lavoro Dipartimento della Famiglia e delle Politiche Sociali	Lavoro e politiche sociali	28 QUESTIONI SOCIALI	2826 VITA SOCIALE	Registro regionale delle organizzazioni di volontariato			http://lineediattivita.dipartimento-famiglia-sicilia.it/images/documenti/2013/el15.pdf		pdf	NO		SI			E' presente una sezione open data sul portale http://lineediattivita.dipartimento-famiglia-sicilia.it/ ma non è pubblicato alcun dataset
70	Assessorato della Famiglia, delle Politiche Sociali e del Lavoro Dipartimento della Famiglia e delle Politiche Sociali	Lavoro e politiche sociali	28 QUESTIONI SOCIALI	2836 PROTEZIONE SOCIALE	Albo regionale delle Istituzioni socio assistenziali pubbliche e private	Albi regionali per: - Anziani - Minori - Inabili - Ragazze madri		http://lineediattivita.dipartimento-famiglia-sicilia.it/images/documenti/2013/zia.pdf http://lineediattivita.dipartimento-famiglia-sicilia.it/images/documenti/2013/mino.pdf http://lineediattivita.dipartimento-famiglia-sicilia.it/images/documenti/2013/nabi.pdf http://lineediattivita.dipartimento-famiglia-sicilia.it/images/documenti/2013/rama.pdf		pdf	NO		SI			
71	Assessorato della Famiglia, delle Politiche Sociali e del Lavoro Dipartimento della Famiglia e delle Politiche Sociali	Lavoro e politiche sociali	28 QUESTIONI SOCIALI	2836 PROTEZIONE SOCIALE	Elenco opere pie in Sicilia			http://lineediattivita.dipartimento-famiglia-sicilia.it/images/documenti/2013/indirizzi.pdf		pdf	NO		SI			
72	Assessorato della Famiglia, delle Politiche Sociali e del Lavoro Dipartimento della Famiglia e delle Politiche Sociali	Lavoro e politiche sociali	28 QUESTIONI SOCIALI	2836 PROTEZIONE SOCIALE	Registro assistenti familiari			http://lineediattivita.dipartimento-famiglia-sicilia.it/images/documenti/2013/ra135.pdf		Proprietario (pdf)	NO		SI			Documento non disponibile
73	Assessorato della Famiglia, delle Politiche Sociali e del Lavoro Dipartimento della Famiglia e delle Politiche Sociali	Lavoro e politiche sociali	28 QUESTIONI SOCIALI	2836 PROTEZIONE SOCIALE	Registrto associazioni di solidarietà familiari			http://lineediattivita.dipartimento-famiglia-sicilia.it/images/documenti/2013/ra106.pdf		pdf	NO		SI			
74	Assessorato della Famiglia, delle Politiche Sociali e del Lavoro Dipartimento della Famiglia e delle Politiche Sociali	Lavoro e politiche sociali	08 RELAZIONI INTERNAZIONALI	0821 DIFESA	Albo regionale degli enti di servizio civile			http://lineediattivita.dipartimento-famiglia-sicilia.it/images/documenti/2013/albo.pdf		pdf	NO		SI			
75	Assessorato della Famiglia, delle Politiche Sociali e del Lavoro Dipartimento della Famiglia e delle Politiche Sociali	Lavoro e politiche sociali	28 QUESTIONI SOCIALI	2826 VITA SOCIALE	Elenco associazioni antiracket presenti nel territorio siciliano			http://www.regione.sicilia.it/famiglia/uffspe/Associazioni.htm		html	NO		?			
76	Assessorato della Famiglia, delle Politiche Sociali e del Lavoro Dipartimento della Famiglia e delle Politiche Sociali	Lavoro e politiche sociali	28 QUESTIONI SOCIALI	2806 FAMIGLIA	Dati affidamento minori a singoli, famiglie o parenti			http://lineediattivita.dipartimento-famiglia-sicilia.it/index.php?option=com_content&view=article&id=171&Itemid=148		pdf	NO		SI			
77	Assessorato delle Autonomie Locali e della Funzione Pubblica Dipartimento delle Autonomie Locali	Government e settore pubblico	04 VITA POLITICA	0416 PROCEDURA ELETTORALE E VOTO	SISTEMA ELETTORALE E CONSIGLIERI SPETTANTI AI COMUNI IN BASE ALLA POPOLAZIONE LEGALE RISULTANTE DAL CENSIMENTO 2011			http://www.regione.sicilia.it/famiglia/elettorale/sispopcons.html		html	NO		SI			
78	Assessorato delle Autonomie Locali e della Funzione Pubblica Dipartimento delle Autonomie Locali	Government e settore pubblico	04 VITA POLITICA	0416 PROCEDURA ELETTORALE E VOTO	Report Elezioni Amministrative del 09-10 Giugno 2013	Report Sindaci e Liste    Affluenza-Riepilogo Regionale Report Affluenza Report Voti Candidati Sindaco Report Voti Candidati Sindaco e Liste Report Risultati Report Ripartizione Seggi Report Raffronto Storico (Comuni > 10000 abitanti) Report Sbarramento		http://www.elezioni.regione.sicilia.it/		html	NO		SI			
79	Assessorato Autonomie Locaii e Funzione Pubblica Dipartimento Funzione Pubblica e Personale 	Government e settore pubblico	44 OCCUPAZIONE	4406 OCCUPAZIONE E LAVORO	Personale della Regione Siciliana	Distribuzione territoriale (per provincia) del personale della Regione Siciliana		http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_LaStrutturaRegionale/PIR_AssessoratoRegionaleAutonomieLocaliFunzionePubblica/PIR_PersonaleAffariGenerali/PIR_Servizio1GestioneGiuridica/PIR_OpenData		pdf	IODL 1.0		NO (ott. 2011)			
80	Assessorato Autonomie Locaii e Funzione Pubblica Dipartimento Funzione Pubblica e Personale 	Government e settore pubblico	44 OCCUPAZIONE	4406 OCCUPAZIONE E LAVORO	Personale della Regione Siciliana	Distribuzione per uffici (Assessorato, Dipartimento, Area/Servizio) del personale della Regione Siciliana		http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_LaStrutturaRegionale/PIR_AssessoratoRegionaleAutonomieLocaliFunzionePubblica/PIR_PersonaleAffariGenerali/PIR_Servizio1GestioneGiuridica/PIR_OpenData		pdf	IODL 1.0		NO (ott. 2011)			
81	Assessorato Autonomie Locaii e Funzione Pubblica Dipartimento Funzione Pubblica e Personale 	Government e settore pubblico	04 VITA POLITICA	0436 POTERE ESECUTIVO E AMMINISTRAZIONE PUBBLICA	Albo unico dei fornitori			http://www.regione.sicilia.it/Presidenza/albounicofornitori/index.htm		xls	NO		SI			
82	Assessorato delle Infrastrutture e della Mobilità Dipartimento delle infrastrutture della mobilità e dei trasporti	Government e settore pubblico	24 FINANZE	2451 PREZZI	Prezziario regionale per i lavori pubblici			http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_LaStrutturaRegionale/PIR_AssInfrastruttureMobilita/PIR_InfrastruttureMobilitaTrasporti/PIR_PrezzarioLavoriPubblici		pdf	NO		SI			
83	Assessorato delle Infrastrutture e della Mobilità Dipartimento delle infrastrutture della mobilità e dei trasporti	Government e settore pubblico	44 OCCUPAZIONE	4406 OCCUPAZIONE E LAVORO	Albo dei collaboratori e dei professionisti			http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_LaStrutturaRegionale/PIR_AssInfrastruttureMobilita/PIR_InfrastruttureMobilitaTrasporti/PIR_CollaudatorieProfessionisti		pdf	NO		SI			
84	Assessorato delle Infrastrutture e della Mobilità Dipartimento delle infrastrutture della mobilità e dei trasporti	Government e settore pubblico	44 OCCUPAZIONE	4406 OCCUPAZIONE E LAVORO	Albo degli esperti per la costituzione di commissioni di gara			http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_LaStrutturaRegionale/PIR_AssInfrastruttureMobilita/PIR_InfrastruttureMobilitaTrasporti/PIR_EspertiCommissionidigara		pdf	NO		SI			
85	Assessorato delle Infrastrutture e della Mobilità Dipartimento delle infrastrutture della mobilità e dei trasporti	Ambiente e meteo	52 AMBIENTE	5206 POLITICA DELL'AMBIENTE	Caratteristiche dei fabbisogni idrici dei Comuni della Sicilia			http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_LaStrutturaRegionale/PIR_AssInfrastruttureMobilita/PIR_InfrastruttureMobilitaTrasporti/PIR_4115326.436191696/PIR_pianoregolatoreacquedotti/All.02_Caratt_fabb.pdf		pdf	NO		SI			
86	Assessorato delle Infrastrutture e della Mobilità Dipartimento delle infrastrutture della mobilità e dei trasporti	Ambiente e meteo	53 AMBIENTE	5206 POLITICA DELL'AMBIENTE	Bilanci idrici per ATO e Bilanci idrici degli acquedotti di sovrambito			http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_LaStrutturaRegionale/PIR_AssInfrastruttureMobilita/PIR_InfrastruttureMobilitaTrasporti/PIR_4115326.436191696/PIR_pianoregolatoreacquedotti/All.03_bilanci.pdf		pdf	NO		SI			
87	Assessorato delle Infrastrutture e della Mobilità Dipartimento delle infrastrutture della mobilità e dei trasporti	Ambiente e meteo	52 AMBIENTE	5206 POLITICA DELL'AMBIENTE	Cartografia di sovrambito			http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_LaStrutturaRegionale/PIR_AssInfrastruttureMobilita/PIR_InfrastruttureMobilitaTrasporti/PIR_4115326.436191696/PIR_pianoregolatoreacquedotti/PIR_cartografiesovrambito		pdf	NO		SI			
88	Assessorato delle Infrastrutture e della Mobilità Dipartimento delle infrastrutture della mobilità e dei trasporti	Ambiente e meteo	52 AMBIENTE	5211 AMBIENTE NATURALE	Cartografia di ambito provinciale			http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_LaStrutturaRegionale/PIR_AssInfrastruttureMobilita/PIR_InfrastruttureMobilitaTrasporti/PIR_4115326.436191696/PIR_pianoregolatoreacquedotti/PIR_cartografiaprovinciale		pdf	NO		SI			
89	Assessorato delle Infrastrutture e della Mobilità Dipartimento delle infrastrutture della mobilità e dei trasporti	Mobilità e trasporti	48 TRASPORTO 	4811 ORGANIZZAZIONE DEI TRASPORTI	Elenco delle autolinee e degli orari del Trasporto Pubblico Locale in Sicilia			http://www.regione.sicilia.it/turismo/trasporti/arcautolinee/orari_bus/autolinee.htm		html	NO		NO (marzo 2011)			
90	Assessorato delle Infrastrutture e della Mobilità Dipartimento delle infrastrutture della mobilità e dei trasporti	Mobilità e trasporti	48 TRASPORTO	4811 ORGANIZZAZIONE DEI TRASPORTI	Registro imprese noleggio autobus con conducente			http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_LaStrutturaRegionale/PIR_AssInfrastruttureMobilita/PIR_InfrastruttureMobilitaTrasporti/PIR_Trasportipubblici/pubblic.%20REGISTRO_NOLEGGIO_BUS%20GIUGNO%202013.pdf		Proprietario (pdf)	NO		SI			
91	Assessorato delle Infrastrutture e della Mobilità Dipartimento delle infrastrutture della mobilità e dei trasporti	Mobilità e trasporti	48 TRASPORTO	4821 TRASPORTI MARITTIMI E FLUVIALI	Elenco e orari collegamenti regionali mediante navi veloci da passeggeri			http://www.regione.sicilia.it/turismo/trasporti/arctrasporti/navi%20veloci.htm		html	NO		NO (agosto 2011)			
92	Assessorato delle Infrastrutture e della Mobilità Dipartimento delle infrastrutture della mobilità e dei trasporti	Mobilità e trasporti	48 TRASPORTO	4826 TRASPORTI AEREI E SPAZIALI	Statistiche relative al Trasporto Aereo per l'anno 2007 - rilevazioni anno 2008			https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_LaStrutturaRegionale/PIR_AssInfrastruttureMobilita/PIR_InfrastruttureMobilitaTrasporti/PIR_Statistiche/stat%202007%20aereo.pdf		Proprietario (pdf)	NO		NO (2008)			
93	Assessorato delle Infrastrutture e della Mobilità Dipartimento delle infrastrutture della mobilità e dei trasporti	Mobilità e trasporti	48 TRASPORTO	4806 POLITICA DEI TRASPORTI	Statistiche relative al Trasporto Pubblico Locale per l'anno 2007 - rilevazioni anno 2008			https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_LaStrutturaRegionale/PIR_AssInfrastruttureMobilita/PIR_InfrastruttureMobilitaTrasporti/PIR_Statistiche/stat%202007%20TPL.pdf		Proprietario (pdf)	NO		NO (2008)			
94	Assessorato delle Infrastrutture e della Mobilità Ufficio Speciale Osservatorio Regionale	Mobilità e trasporti	48 TRASPORTO	4811 ORGANIZZAZIONE DEI TRASPORTI	Albo delle imprese di fiducia			http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_LaStrutturaRegionale/PIR_AssInfrastruttureMobilita/PIR_UffSpeOsservatorioRegionale/PIR_AlboImpresedifiducia		pdf	NO		NO (2011)			
95	Assessorato delle Infrastrutture e della Mobilità Ufficio Speciale Osservatorio Regionale	Mobilità e trasporti	12 DIRITTO	1221 GIUSTIZIA	Elenco enti che hanno comunicato l'adesione al Protocollo di Legalità "Carlo Alberto Dalla Chiesa"			http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_LaStrutturaRegionale/PIR_AssInfrastruttureMobilita/PIR_UffSpeOsservatorioRegionale/PIR_DallaChiesa		pdf	NO		SI			
96	Assessorato dell'Istruzione e della Formazione Professionale Dipartimento dell'Istruzione e della Formazione Professionale	Lavoro e politiche sociali	44 OCCUPAZIONE E LAVORO	4406 OCCUPAZIONE	Elenco delle sedi orientative e formative accreditate			http://sac.formasicilia.it/sac/home		pdf	NO		SI			Disponibile anche l'archivio con gli elenchi degli anni precedenti
97	Assessorato dell'Istruzione e della Formazione Professionale Dipartimento dell'Istruzione e della Formazione Professionale	Progetti europei e di cooperazione	10 UNIONE EUROPEA	2426 INVESTIMENTI E FINANZIAMENTI	Elenco dei beneficiari dei progetti finanziati con il PO FSE 2007-2013	Elenco dei beneficiari dei progetti finanziati dal PO FSE 2007-2013 contenente: - CodiceIdentificativoOperazione - TitoloProgetto - CUP - Denominazione - CF/P.IVA - ProvinciaSedeLegale - ComuneSedeLegale - IndirizzoSedeLegale - TotaleImpegniBeneficiario - TotaleImpegniBeneficiarioCertificati		http://www.sicilia-fse.it/Uploads/Temporaneo/BeneficiariFSE_agg270912MIURaggLUG.pdf		pdf	NO		NO (sett. 2012)			
98	Assessorato dell'agricoltura, dello sviluppo rurale e della pesca mediterranea	Progetti europei e di cooperazione	10 UNIONE EUROPEA	1021 FINANZE DELL'UNIONE EUROPEA	Documentazione Programma di Sviluppo Rurale (PSR) 2007-2013			http://www.psrsicilia.it/Materiale_id_nuovosito.html		pdf	NO		SI			
99	Assessorato dell'agricoltura, dello sviluppo rurale e della pesca mediterranea	Progetti europei e di cooperazione	10 UNIONE EUROPEA	1021 FINANZE DELL'UNIONE EUROPEA	Dati monitoraggio PSR 2007-2013			https://signon.sian.it/sso/pages/login.jsp		Proprietario (DB)	NO		SI			
100	Assessorato dell'agricoltura, dello sviluppo rurale e della pesca mediterranea	Progetti europei e di cooperazione	10 UNIONE EUROPEA	1021 FINANZE DELL'UNIONE EUROPEA	Relazione annuale di valutazione del PSR 2007-2013			http://www.psrsicilia.it/Valutazione_documenti.html		pdf	NO		SI			Dovrebbero essere estratte le tabelle dalla relazione
101	Assessorato delle Risorse Agricole e Alimentari Dipartimento Interventi Infrastrutturali	Agricoltura, pesca, politiche forestali e alimentari	52 AMBIENTE	5206 POLITICA DELL'AMBIENTE	Elenco con ublcazione e periodo di acquisizione delle stazioni di telemisura			http://www.sias.regione.sicilia.it/corpo_rete_tele_stazioni.htm		html	NO	3	?			
